PheCode,Phenotype,Category,OMICSPRED ID,Internal R2,Platform,Description,Hazard Ratio,FDR adjusted P-value
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002658,0.013,Olink,C-C motif chemokine 22,0.97 (0.96 0.98),4.02E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002427,0.216,Olink,Alpha-2-macroglobulin receptor-associated protein,1.03 (1.01 1.04),2.07E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002568,0.043,Olink,Granzyme A,0.97 (0.96 0.99),2.88E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002437,0.187,Olink,Serine protease 27,0.97 (0.96 0.99),3.34E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002657,0.013,Olink,Fibroblast growth factor 19,1.02 (1.01 1.04),1.33E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002559,0.048,Olink,C-C motif chemokine 19,0.98 (0.97 0.99),3.41E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003038,0.025,Metabolon,1-margaroyl-2-linoleoyl-GPC (17:0/18:2)*,0.96 (0.95 0.97),4.06E-07
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003096,0.019,Metabolon,pyroglutamylglutamine,1.04 (1.02 1.05),5.65E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003120,0.017,Metabolon,2-docosahexaenoyl-GPC (22:6)*,1.04 (1.02 1.05),6.89E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002936,0.044,Metabolon,1-dihomo-linoleoyl-GPC (20:2)*,0.97 (0.96 0.98),1.26E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002954,0.040,Metabolon,1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,0.97 (0.96 0.98),1.58E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002977,0.035,Metabolon,1.2-dilinoleoyl-GPC (18:2/18:2),0.97 (0.96 0.98),3.66E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003086,0.020,Metabolon,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,0.97 (0.96 0.98),3.90E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003073,0.021,Metabolon,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,1.03 (1.02 1.05),4.55E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003125,0.017,Metabolon,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),1.03 (1.02 1.04),7.28E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003074,0.021,Metabolon,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,0.97 (0.96 0.98),7.28E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003011,0.030,Metabolon,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,0.97 (0.96 0.98),7.49E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003109,0.018,Metabolon,1-linoleoyl-GPE (18:2)*,0.97 (0.96 0.98),9.17E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003168,0.014,Metabolon,X - 24054,0.97 (0.96 0.98),1.29E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003042,0.024,Metabolon,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),1.03 (1.02 1.04),1.71E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002829,0.079,Metabolon,arachidonate (20:4n6),1.03 (1.02 1.04),1.71E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002941,0.043,Metabolon,1-palmitoyl-2-linolenoyl-GPC (16:0/18:3)*,0.97 (0.96 0.98),1.71E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002855,0.069,Metabolon,1-palmityl-2-arachidonoyl-GPC (O-16:0/20:4)*,1.03 (1.02 1.04),2.04E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002997,0.032,Metabolon,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),0.97 (0.96 0.98),2.23E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003007,0.030,Metabolon,trans-urocanate,0.97 (0.96 0.98),2.67E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002791,0.100,Metabolon,2-arachidonoyl-GPC (20:4)*,1.03 (1.02 1.04),5.44E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002747,0.146,Metabolon,1-arachidonoyl-GPC (20:4n6)*,1.03 (1.02 1.04),5.76E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003152,0.014,Metabolon,1-pentadecanoyl-2-linoleoyl-GPC (15:0/18:2)*,0.97 (0.96 0.98),8.15E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002890,0.056,Metabolon,X - 23705,1.03 (1.02 1.04),9.27E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003159,0.014,Metabolon,docosapentaenoate (n3 DPA; 22:5n3),1.03 (1.02 1.04),1.00E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003014,0.029,Metabolon,1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n6)*,1.03 (1.02 1.04),1.00E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003060,0.022,Metabolon,stearidonate (18:4n3),1.03 (1.02 1.04),1.01E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003043,0.024,Metabolon,1-docosahexaenoyl-GPC (22:6)*,1.03 (1.02 1.04),1.10E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002734,0.178,Metabolon,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),1.03 (1.02 1.04),1.10E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003075,0.021,Metabolon,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,1.03 (1.02 1.04),1.22E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002764,0.129,Metabolon,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),1.03 (1.01 1.04),1.68E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003113,0.018,Metabolon,1-docosapentaenoyl-GPC (22:5n6)*,1.03 (1.01 1.04),2.01E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002843,0.073,Metabolon,1-(1-enyl-stearoyl)-2-arachidonoyl-GPC (P-18:0/20:4),1.03 (1.01 1.04),2.08E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003189,0.012,Metabolon,2-linoleoyl-GPE (18:2)*,0.97 (0.96 0.99),2.27E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002931,0.045,Metabolon,eicosapentaenoate (EPA; 20:5n3),1.03 (1.01 1.04),3.54E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002949,0.041,Metabolon,1-stearoyl-2-meadoyl-GPC (18:0/20:3n9)*,1.03 (1.01 1.04),4.55E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002972,0.036,Metabolon,1-palmitoyl-2-meadoyl-GPC (16:0/20:3n9)*,1.03 (1.01 1.04),4.74E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003057,0.022,Metabolon,1-adrenoyl-GPC (22:4)*,1.03 (1.01 1.04),5.81E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003019,0.028,Metabolon,1-oleoyl-2-linoleoyl-GPI (18:1/18:2)*,0.98 (0.96 0.99),7.00E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002899,0.053,Metabolon,1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5)*,1.02 (1.01 1.04),7.99E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002834,0.075,Metabolon,phosphatidylcholine (18:0/20:5. 16:0/22:5n6)*,1.02 (1.01 1.04),9.11E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003016,0.029,Metabolon,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,1.02 (1.01 1.04),9.91E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003100,0.019,Metabolon,1-arachidonylglycerol (20:4),1.02 (1.01 1.04),1.17E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002938,0.044,Metabolon,2-arachidonoyl-GPE (20:4)*,1.02 (1.01 1.04),1.17E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003121,0.017,Metabolon,1.2-dipalmitoyl-GPC (16:0/16:0),1.02 (1.01 1.04),1.26E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003114,0.018,Metabolon,1-myristoyl-2-linoleoyl-GPC (14:0/18:2)*,0.98 (0.97 0.99),1.34E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002980,0.034,Metabolon,1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,0.98 (0.97 0.99),1.68E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002819,0.083,Metabolon,phosphatidylcholine (16:0/22:5n3. 18:1/20:4)*,1.02 (1.01 1.03),2.13E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002959,0.039,Metabolon,sphingomyelin (d18:1/18:1. d18:2/18:0),1.02 (1.01 1.03),4.08E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002785,0.103,Metabolon,flavin adenine dinucleotide (FAD),0.98 (0.97 0.99),4.44E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003228,0.010,Metabolon,adenine,0.98 (0.97 0.99),4.54E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002872,0.061,Metabolon,1-eicosapentaenoyl-GPC (20:5)*,1.02 (1.01 1.03),4.79E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003522,0.062,Nightingale,Degree of unsaturation,1.03 (1.01 1.04),1.99E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010527,0.060,RNAseq,SPG7,0.93 (0.91 0.94),2.61E-32
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003834,0.535,RNAseq,AC026748.3,1.08 (1.06 1.09),1.27E-28
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS004322,0.386,RNAseq,CDK10,0.93 (0.92 0.95),1.62E-25
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010348,0.063,RNAseq,TRBV6-5,0.94 (0.92 0.95),8.69E-24
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS009992,0.069,RNAseq,CASP8,0.94 (0.93 0.95),5.42E-21
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS011431,0.048,RNAseq,VWA7,0.94 (0.93 0.95),5.42E-21
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS004736,0.319,RNAseq,,0.94 (0.93 0.95),1.28E-19
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS009808,0.073,RNAseq,BZW1,1.06 (1.05 1.07),1.23E-18
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS012654,0.034,RNAseq,CLPTM1L,0.94 (0.93 0.95),2.78E-18
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS005895,0.209,RNAseq,MAP1LC3A,0.95 (0.93 0.96),1.40E-17
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS004883,0.301,RNAseq,KRT5,0.95 (0.93 0.96),8.05E-17
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS014758,0.017,RNAseq,TRAV10,0.95 (0.94 0.96),2.93E-16
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS007969,0.116,RNAseq,SPATA2L,1.06 (1.04 1.07),2.34E-15
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS014283,0.021,RNAseq,MXRA8,0.95 (0.94 0.96),7.61E-15
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS008702,0.097,RNAseq,,1.05 (1.04 1.06),3.73E-13
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS008718,0.096,RNAseq,,1.05 (1.04 1.06),6.50E-13
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS007528,0.131,RNAseq,SPIRE2,0.95 (0.94 0.96),6.50E-13
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003928,0.495,RNAseq,RNASET2,1.05 (1.04 1.06),4.31E-12
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010624,0.059,RNAseq,TRBV18,0.95 (0.94 0.96),5.07E-12
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003797,0.549,RNAseq,PADI6,0.96 (0.94 0.97),1.19E-10
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS015030,0.016,RNAseq,PRRC2A,0.96 (0.94 0.97),2.65E-10
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS005389,0.248,RNAseq,TRAV23DV6,1.05 (1.03 1.06),4.19E-10
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS014277,0.021,RNAseq,DEF8,0.95 (0.94 0.97),4.47E-10
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013073,0.030,RNAseq,BACH2,1.05 (1.03 1.06),6.24E-10
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS011296,0.050,RNAseq,AC021066.1,0.96 (0.95 0.97),2.76E-09
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003950,0.485,RNAseq,CHMP4B,1.04 (1.03 1.06),8.91E-09
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS009464,0.080,RNAseq,CTLA4,1.04 (1.03 1.05),4.13E-08
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010691,0.058,RNAseq,RPRD2,1.04 (1.03 1.05),5.33E-08
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013225,0.029,RNAseq,REG4,0.96 (0.95 0.97),1.38E-07
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010420,0.062,RNAseq,ATP1B2,1.04 (1.03 1.05),2.47E-07
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013309,0.028,RNAseq,LINC00304,1.04 (1.03 1.05),2.96E-07
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS004064,0.446,RNAseq,EXOC2,0.96 (0.95 0.97),3.38E-07
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS004144,0.424,RNAseq,PSORS1C3,0.96 (0.95 0.97),6.53E-07
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS008867,0.093,RNAseq,TSBP1-AS1,0.97 (0.95 0.98),1.95E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013797,0.024,RNAseq,LMTK3,0.97 (0.95 0.98),1.95E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS004213,0.410,RNAseq,,0.96 (0.95 0.98),1.95E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS011853,0.043,RNAseq,TRBV6-1,1.04 (1.02 1.05),2.72E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS007638,0.128,RNAseq,CTSS,0.97 (0.96 0.98),3.54E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS014375,0.020,RNAseq,MUS81,0.97 (0.95 0.98),3.60E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS012952,0.031,RNAseq,PPP1R14B,0.97 (0.95 0.98),4.04E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS005613,0.228,RNAseq,CDKN2B,0.97 (0.96 0.98),4.04E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS011854,0.043,RNAseq,FLACC1,1.04 (1.02 1.05),4.30E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS009371,0.082,RNAseq,TRBV19,0.97 (0.95 0.98),4.30E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010512,0.061,RNAseq,ITCH,0.97 (0.95 0.98),4.30E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010561,0.060,RNAseq,IL2RA,1.04 (1.02 1.05),5.15E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS007018,0.151,RNAseq,TRBV10-3,1.03 (1.02 1.05),1.16E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS006038,0.201,RNAseq,HLA-DQA2,0.97 (0.95 0.98),1.48E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS005518,0.236,RNAseq,POLR2E,0.97 (0.96 0.98),1.71E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS006807,0.160,RNAseq,BNC2,1.03 (1.02 1.05),1.81E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS012337,0.037,RNAseq,SMC2,1.03 (1.02 1.05),3.37E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013956,0.023,RNAseq,CASP10,0.97 (0.96 0.98),3.61E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010799,0.057,RNAseq,SAPCD1-AS1,0.97 (0.96 0.98),3.90E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS014622,0.018,RNAseq,CACNA1I,1.03 (1.02 1.05),4.02E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS011283,0.050,RNAseq,CD248,0.97 (0.96 0.98),4.58E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010632,0.059,RNAseq,LRRN3,0.97 (0.96 0.98),4.95E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS008000,0.116,RNAseq,AL009179.2,1.03 (1.02 1.04),5.00E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS008566,0.100,RNAseq,DBNDD1,1.03 (1.02 1.04),5.27E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS008555,0.100,RNAseq,CALCRL,0.97 (0.96 0.98),6.22E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010700,0.058,RNAseq,DCLRE1B,1.03 (1.02 1.05),6.55E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010661,0.059,RNAseq,PTPN22,0.97 (0.96 0.98),7.28E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013254,0.029,RNAseq,UBAC2-AS1,0.97 (0.96 0.98),9.30E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS014878,0.016,RNAseq,ZNF618,0.97 (0.96 0.98),1.51E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS009176,0.086,RNAseq,,0.97 (0.96 0.98),1.68E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003643,0.644,RNAseq,SEPTIN2,1.03 (1.02 1.04),1.71E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS006273,0.188,RNAseq,AC137932.2,0.97 (0.96 0.98),1.81E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS005603,0.230,RNAseq,FANCA,1.03 (1.02 1.04),2.38E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS006942,0.154,RNAseq,SKIV2L,0.97 (0.96 0.98),2.41E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010893,0.055,RNAseq,PROB1,0.97 (0.96 0.98),2.89E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS011988,0.041,RNAseq,ZBTB10,0.97 (0.96 0.98),3.20E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013423,0.027,RNAseq,TANGO6,0.97 (0.96 0.98),3.56E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS012171,0.039,RNAseq,TRBV15,1.03 (1.02 1.04),3.58E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS004345,0.381,RNAseq,SENP7,1.03 (1.02 1.04),3.73E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS012358,0.037,RNAseq,SFRP5,0.97 (0.96 0.98),3.78E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003996,0.464,RNAseq,SPAG1,0.97 (0.96 0.98),3.80E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS004498,0.354,RNAseq,TEF,1.03 (1.02 1.04),4.07E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010278,0.065,RNAseq,DHX35,0.97 (0.96 0.98),4.16E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS009920,0.071,RNAseq,LINC02446,0.97 (0.96 0.98),5.33E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013958,0.023,RNAseq,CSNK2B,0.97 (0.96 0.98),5.33E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS006911,0.155,RNAseq,RPS6KA2,1.03 (1.02 1.04),5.70E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS012096,0.040,RNAseq,CCR7,0.97 (0.96 0.98),7.47E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS006874,0.157,RNAseq,CENPBD1,0.97 (0.96 0.98),7.53E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS007376,0.137,RNAseq,ZBTB7B,0.97 (0.96 0.98),7.65E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS011092,0.052,RNAseq,IFIT1,0.97 (0.96 0.98),7.76E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS014380,0.020,RNAseq,BAG3,1.03 (1.02 1.04),7.95E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS012287,0.038,RNAseq,DRD4,0.97 (0.96 0.98),8.15E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS004084,0.442,RNAseq,CPNE1,1.03 (1.02 1.04),8.15E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS008615,0.098,RNAseq,CNPY4,0.97 (0.96 0.98),8.54E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS004389,0.372,RNAseq,AP003774.2,1.03 (1.02 1.04),8.54E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013854,0.024,RNAseq,CFL1,0.97 (0.96 0.98),1.00E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS009794,0.073,RNAseq,RN7SL473P,0.97 (0.96 0.98),1.06E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS009592,0.077,RNAseq,APOBR,0.97 (0.96 0.99),1.09E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS011585,0.046,RNAseq,CD8B,0.97 (0.96 0.99),1.32E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS005736,0.219,RNAseq,,1.03 (1.01 1.04),1.47E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS006317,0.185,RNAseq,ULBP3,0.97 (0.96 0.99),1.54E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS011787,0.044,RNAseq,C2,1.03 (1.01 1.04),1.59E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS008928,0.091,RNAseq,N4BP2L1,0.97 (0.96 0.99),1.63E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010531,0.060,RNAseq,TICAM1,0.97 (0.96 0.99),1.84E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS007867,0.119,RNAseq,MOSPD3,1.03 (1.01 1.04),1.94E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013953,0.023,RNAseq,OBSCN,0.97 (0.96 0.99),1.99E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS012521,0.035,RNAseq,HERC5,0.97 (0.96 0.99),1.99E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013782,0.024,RNAseq,GFOD2,0.97 (0.96 0.99),1.99E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS003936,0.490,RNAseq,CTSH,0.97 (0.96 0.99),2.71E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS005706,0.221,RNAseq,OXLD1,0.97 (0.96 0.99),2.88E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS010987,0.054,RNAseq,AC242988.2,1.03 (1.01 1.04),2.92E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013383,0.027,RNAseq,PPP1R11,0.97 (0.96 0.99),3.99E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013699,0.025,RNAseq,TRAV5,0.98 (0.96 0.99),4.29E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS015131,0.015,RNAseq,PTBP1,1.03 (1.01 1.04),4.61E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS014937,0.016,RNAseq,EIF3M,0.97 (0.96 0.99),4.68E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS005230,0.263,RNAseq,LINC00243,1.03 (1.01 1.04),4.74E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS004460,0.361,RNAseq,RMI2,1.03 (1.01 1.04),4.74E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS014459,0.019,RNAseq,ARID2,1.02 (1.01 1.04),4.76E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS011517,0.047,RNAseq,MAP3K8,0.98 (0.96 0.99),4.79E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS011257,0.050,RNAseq,CBFA2T3,0.98 (0.96 0.99),4.80E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS014957,0.016,RNAseq,TCF25,0.97 (0.96 0.99),5.29E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS009025,0.089,RNAseq,AC079209.1,1.02 (1.01 1.04),5.29E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS009375,0.082,RNAseq,OPLAH,0.98 (0.96 0.99),5.67E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013935,0.023,RNAseq,EFCAB8,1.03 (1.01 1.04),5.77E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS004098,0.438,RNAseq,PCGF3,1.02 (1.01 1.04),5.77E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS007532,0.131,RNAseq,GIGYF1,1.02 (1.01 1.04),6.06E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS014210,0.021,RNAseq,MYC,0.98 (0.96 0.99),6.15E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS009479,0.080,RNAseq,AL121753.2,1.02 (1.01 1.04),7.00E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS004076,0.443,RNAseq,SMCO4,0.98 (0.96 0.99),7.00E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS004956,0.291,RNAseq,,1.02 (1.01 1.04),7.06E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS011482,0.047,RNAseq,TRAV8-4,0.98 (0.96 0.99),7.17E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS009279,0.084,RNAseq,PKN2-AS1,0.98 (0.96 0.99),7.28E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS014489,0.019,RNAseq,AP002381.2,0.98 (0.96 0.99),7.53E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS013058,0.030,RNAseq,PREP,1.02 (1.01 1.04),8.17E-03
